,oficial_mensual,promedio_diaria,cierre_diaria,dif_vs_promedio,dif_vs_cierre
2021-05-01,712.2595,712.2595,724.92,0.0,12.660499999999956
2021-06-01,726.5445,726.5445,735.28,0.0,8.735500000000002
2021-07-01,750.440476190476,750.4404761904761,758.53,1.1368683772161603e-13,8.08952380952394
2021-08-01,779.828181818182,779.8281818181819,779.97,1.1368683772161603e-13,0.14181818181805284
2021-09-01,783.62619047619,783.6261904761906,803.59,5.684341886080801e-13,19.963809523810028
2021-10-01,813.9505,813.9505,805.47,0.0,8.480500000000006
2021-11-01,812.624761904762,812.6247619047618,836.73,1.1368683772161603e-13,24.105238095238064
2021-12-01,849.121904761905,849.1219047619048,850.25,1.1368683772161603e-13,1.1280952380950566
2022-01-01,822.05,822.05,810.12,0.0,11.92999999999995
2022-02-01,807.068,807.068,805.25,0.0,1.8179999999999836
2022-03-01,799.187391304348,799.1873913043479,787.16,1.1368683772161603e-13,12.027391304348043
2022-04-01,815.123,815.123,856.58,0.0,41.456999999999994
2022-05-01,849.39,849.3900000000001,826.26,1.1368683772161603e-13,23.129999999999995
2022-06-01,857.7695,857.7695,919.97,0.0,62.200500000000034
2022-07-01,953.706190476191,953.7061904761906,911.42,3.410605131648481e-13,42.286190476190995
2022-08-01,904.352272727273,904.3522727272727,882.11,2.2737367544323206e-13,22.24227272727296
2022-09-01,921.0075,921.0075,966.0,0.0,44.99249999999995
2022-10-01,955.894736842105,955.8947368421053,945.31,3.410605131648481e-13,10.58473684210503
2022-11-01,917.052857142857,917.0528571428572,905.7,2.2737367544323206e-13,11.35285714285692
2022-12-01,875.661428571429,875.6614285714286,859.51,4.547473508864641e-13,16.15142857142905
2023-01-01,826.335714285714,826.3357142857143,810.37,3.410605131648481e-13,15.965714285713943
2023-02-01,798.2575,798.2574999999999,831.24,1.1368683772161603e-13,32.98249999999996
2023-03-01,809.503913043478,809.5039130434783,789.32,3.410605131648481e-13,20.1839130434779
2023-04-01,803.836842105263,803.8368421052631,801.61,1.1368683772161603e-13,2.2268421052630174
2023-05-01,798.635454545455,798.6354545454545,803.94,4.547473508864641e-13,5.304545454545064
2023-06-01,799.8725,799.8725000000001,802.68,1.1368683772161603e-13,2.8075000000000045
2023-07-01,813.397142857143,813.3971428571429,827.84,1.1368683772161603e-13,14.442857142857065
2023-08-01,855.659545454545,855.6595454545455,854.22,5.684341886080801e-13,1.439545454544941
2023-09-01,884.403684210526,884.4036842105262,906.84,2.2737367544323206e-13,22.436315789474065
2023-10-01,926.347,926.347,910.28,0.0,16.067000000000007
2023-11-01,886.614285714286,886.6142857142858,867.86,2.2737367544323206e-13,18.75428571428597
2023-12-01,874.665789473684,874.6657894736843,884.59,3.410605131648481e-13,9.924210526316074
2024-01-01,907.986818181818,907.9868181818182,932.66,2.2737367544323206e-13,24.673181818182
2024-02-01,963.442380952381,963.442380952381,980.19,0.0,16.747619047619082
2024-03-01,967.9325,967.9325000000001,982.38,1.1368683772161603e-13,14.447499999999991
2024-04-01,960.138181818182,960.1381818181818,943.62,2.2737367544323206e-13,16.51818181818203
2024-05-01,917.877142857143,917.8771428571428,917.98,2.2737367544323206e-13,0.10285714285703307
2024-06-01,926.081052631579,926.081052631579,951.02,0.0,24.93894736842094
2024-07-01,937.560909090909,937.5609090909091,956.58,1.1368683772161603e-13,19.019090909091005
2024-08-01,929.895238095238,929.895238095238,917.38,0.0,12.515238095238033
2024-09-01,926.214444444444,926.2144444444444,896.25,4.547473508864641e-13,29.964444444443984
2024-10-01,933.812272727273,933.8122727272727,950.89,3.410605131648481e-13,17.077727272726975
2024-11-01,971.6,971.6,977.32,0.0,5.720000000000027
2024-12-01,982.296,982.2959999999999,992.12,1.1368683772161603e-13,9.823999999999955
